sector,okved2,year,researchorg_s
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2023,15
"Разработка проектов промышленных процессов и производств, относящихся к электротехнике, электронной технике, горному делу, химической технологии, машиностроению, а также в области промышленного строительства, системотехники и техники безопасности",71.12.12,2024,15
Разработка инженерно-технических проектов и контроль при строительстве и модернизации объектов использования атомной энергии,71.12.14,2024,2
Инженерные изыскания в строительстве,71.12.15,2024,1
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2021,2
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2022,1
"Деятельность заказчика-застройщика, генерального подрядчика",71.12.2,2023,3
"Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы",71.12.3,2024,4
Деятельность геодезическая и картографическая,71.12.4,2024,3
Деятельность по созданию топографических карт и планов,71.12.44,2024,1
"Создание геодезической, нивелирной, гравиметрической сетей",71.12.45,2024,2
"Деятельность в области гидрометеорологии и смежных с ней областях, мониторинга состояния окружающей среды, ее загрязнения",71.12.5,2024,4
Деятельность по мониторингу загрязнения окружающей среды для физических и юридических лиц,71.12.53,2024,1
"Деятельность в области технического регулирования, стандартизации, метрологии, аккредитации, каталогизации продукции",71.12.6,2024,4
Деятельность в области технического регулирования и стандартизации,71.12.61,2024,1
Деятельность в области метрологии,71.12.62,2024,2
Кадастровая деятельность,71.12.7,2024,1
"Технические испытания, исследования, анализ и сертификация",71.2,2018,11
"Технические испытания, исследования, анализ и сертификация",71.2,2019,19
"Технические испытания, исследования, анализ и сертификация",71.2,2020,15
"Технические испытания, исследования, анализ и сертификация",71.2,2021,17
"Технические испытания, исследования, анализ и сертификация",71.2,2022,16
"Технические испытания, исследования, анализ и сертификация",71.2,2023,15
"Технические испытания, исследования, анализ и сертификация",71.20,2024,12
"Испытания и анализ состава и чистоты материалов и веществ: анализ химических и биологических свойств материалов и веществ; испытания и анализ в области гигиены питания, включая ветеринарный контроль и контроль за производством продуктов питания",71.20.1,2024,1
Судебно-экспертная деятельность,71.20.2,2024,1
Испытания и анализ физико-механических свойств материалов и веществ,71.20.3,2024,2
"Испытания, исследования и анализ целостных механических и электрических систем, энергетическое обследование",71.20.4,2024,1
"Сертификация продукции, услуг и организаций",71.20.8,2024,2
"Деятельность по техническому контролю, испытаниям и анализу прочая",71.20.9,2024,2
Научные исследования и разработки,72,2018,2104
Научные исследования и разработки,72,2019,2083
Научные исследования и разработки,72,2020,2127
Научные исследования и разработки,72,2021,2122
Научные исследования и разработки,72,2022,2100
Научные исследования и разработки,72,2023,2057
Научные исследования и разработки,72,2024,2045
Научные исследования и разработки в области естественных и технических наук,72.1,2018,1908
Научные исследования и разработки в области естественных и технических наук,72.1,2019,1869
Научные исследования и разработки в области естественных и технических наук,72.1,2020,1899
Научные исследования и разработки в области естественных и технических наук,72.1,2021,1895
Научные исследования и разработки в области естественных и технических наук,72.1,2022,1880
Научные исследования и разработки в области естественных и технических наук,72.1,2023,1838
Научные исследования и разработки в области естественных и технических наук,72.1,2024,1827
Научные исследования и разработки в области биотехнологии,72.11,2018,3
Научные исследования и разработки в области биотехнологии,72.11,2019,7
Научные исследования и разработки в области биотехнологии,72.11,2020,20
Научные исследования и разработки в области биотехнологии,72.11,2021,24
Научные исследования и разработки в области биотехнологии,72.11,2022,23
Научные исследования и разработки в области биотехнологии,72.11,2023,24
Научные исследования и разработки в области биотехнологии,72.11,2024,26
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2018,1905
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2019,1862
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2020,1879
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2021,1871
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2022,1857
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2023,1814
Научные исследования и разработки в области естественных и технических наук прочие,72.19,2024,1801
Научные исследования и разработки в области общественных и гуманитарных наук,72.2,2018,196
Научные исследования и разработки в области общественных и гуманитарных наук,72.2,2019,214
Научные исследования и разработки в области общественных и гуманитарных наук,72.2,2020,228
Научные исследования и разработки в области общественных и гуманитарных наук,72.2,2021,227
Научные исследования и разработки в области общественных и гуманитарных наук,72.2,2022,220
Научные исследования и разработки в области общественных и гуманитарных наук,72.2,2023,219
Научные исследования и разработки в области общественных и гуманитарных наук,72.20,2024,218
Научные исследования и разработки в области общественных наук,72.20.1,2018,10
Научные исследования и разработки в области общественных наук,72.20.1,2019,11
Научные исследования и разработки в области общественных наук,72.20.1,2020,37
Научные исследования и разработки в области общественных наук,72.20.1,2021,36
Научные исследования и разработки в области общественных наук,72.20.1,2022,47
Научные исследования и разработки в области общественных наук,72.20.1,2023,48
Научные исследования и разработки в области общественных наук,72.20.1,2024,47
Научные исследования и разработки в области общественных наук прочие,72.20.19,2024,10
Научные исследования и разработки в области гуманитарных наук,72.20.2,2018,5
Научные исследования и разработки в области гуманитарных наук,72.20.2,2019,5
Научные исследования и разработки в области гуманитарных наук,72.20.2,2020,22
Научные исследования и разработки в области гуманитарных наук,72.20.2,2021,24
Научные исследования и разработки в области гуманитарных наук,72.20.2,2022,19
Научные исследования и разработки в области гуманитарных наук,72.20.2,2023,22
Научные исследования и разработки в области гуманитарных наук,72.20.2,2024,25
Деятельность рекламная и исследование конъюнктуры рынка,73,2018,5
Деятельность рекламная и исследование конъюнктуры рынка,73,2019,5
Деятельность рекламная и исследование конъюнктуры рынка,73,2020,3
Деятельность рекламная и исследование конъюнктуры рынка,73,2021,4
Деятельность рекламная и исследование конъюнктуры рынка,73,2022,2
Деятельность рекламная и исследование конъюнктуры рынка,73,2023,2
Деятельность рекламная и исследование конъюнктуры рынка,73,2024,2
Деятельность рекламная,73.1,2021,1
Деятельность рекламная,73.1,2022,1
Деятельность рекламная,73.1,2023,1
Деятельность рекламная,73.1,2024,2
Деятельность рекламных агентств,73.11,2024,2
Исследование конъюнктуры рынка и изучение общественного мнения,73.2,2018,5
Исследование конъюнктуры рынка и изучение общественного мнения,73.2,2019,5
Исследование конъюнктуры рынка и изучение общественного мнения,73.2,2020,3
Исследование конъюнктуры рынка и изучение общественного мнения,73.2,2021,3
Исследование конъюнктуры рынка и изучение общественного мнения,73.2,2022,1
Исследование конъюнктуры рынка и изучение общественного мнения,73.2,2023,1
Деятельность профессиональная научная и техническая прочая,74,2018,1
Деятельность профессиональная научная и техническая прочая,74,2019,3
Деятельность профессиональная научная и техническая прочая,74,2020,4
Деятельность профессиональная научная и техническая прочая,74,2021,6
Деятельность профессиональная научная и техническая прочая,74,2022,7
Деятельность профессиональная научная и техническая прочая,74,2023,6
Деятельность профессиональная научная и техническая прочая,74,2024,8
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.9,2018,1
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.9,2019,3
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.9,2020,4
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.9,2021,6
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.9,2022,7
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.9,2023,6
"Деятельность профессиональная, научная и техническая прочая, не включенная в другие группировки",74.90,2024,8
Деятельность иная в области защиты информации,74.90.09.АГ,2019,1
Деятельность иная в области защиты информации,74.90.09.АГ,2020,2
Деятельность иная в области защиты информации,74.90.09.АГ,2024,5
Предоставление консультационных услуг в области сельского хозяйства,74.90.4,2024,2
Деятельность в области защиты информации и обеспечения безопасности критической информационной инфраструктуры,74.90.9,2024,5
Деятельность ветеринарная,75,2021,1
Деятельность ветеринарная,75,2023,1
Деятельность ветеринарная,75.00,2024,1
Аренда и лизинг,77,2018,1
Аренда и лизинг,77,2020,2
Аренда и лизинг,77,2024,1
"Аренда интеллектуальной собственности и подобной продукции, кроме авторских прав",77.40,2024,1
"Деятельность туристических агентств и прочих организаций, предоставляющих услуги в сфере туризма",79,2020,1
"Деятельность туристических агентств и прочих организаций, предоставляющих услуги в сфере туризма",79,2021,1
Деятельность по обеспечению безопасности и проведению расследований,80,2019,1
Деятельность по обеспечению безопасности и проведению расследований,80,2022,1
Деятельность административно,82,2018,3
"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса",82,2019,7
"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса",82,2020,7
"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса",82,2021,5
"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса",82,2022,6
"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса",82,2023,7
"Деятельность административно-хозяйственная, вспомогательная деятельность по обеспечению функционирования организации, деятельность по предоставлению прочих вспомогательных услуг для бизнеса",82,2024,7
Деятельность административно-хозяйственная и вспомогательная деятельность по обеспечению функционирования организации,82.1,2024,2
Деятельность административно-хозяйственная комплексная по обеспечению работы организации,82.11,2024,2
Деятельность по организации конференций и выставок,82.30,2024,3
"Деятельность по предоставлению вспомогательных услуг для бизнеса, не включенная в другие группировки",82.9,2024,2
"Деятельность по предоставлению прочих вспомогательных услуг для бизнеса, не включенная в другие группировки",82.99,2024,2
"Деятельность органов государственного управления по обеспечению военной безопасности, обязательному социальному обеспечению",84,2024,6
"Предоставление государственных услуг обществу, не включенные в другие группировки",84.02.АГ,2018,5
"Предоставление государственных услуг обществу, не включенные в другие группировки",84.02.АГ,2019,3
"Предоставление государственных услуг обществу, не включенные в другие группировки",84.02.АГ,2020,4
"Предоставление государственных услуг обществу, не включенные в другие группировки",84.02.АГ,2024,3
Деятельность органов государственного управления и местного самоуправления по вопросам общего и социально-экономического характера,84.1,2024,2
Деятельность органов государственного управления и местного самоуправления по вопросам общего характера,84.11,2024,2
Управление деятельностью в области фундаментальных исследований,84.11.6,2024,1
"Управление имуществом, находящимся в государственной собственности",84.11.8,2024,1
Предоставление государственных услуг обществу,84.2,2024,4
Деятельность в области юстиции и правосудия,84.23,2024,1
"Деятельность по управлению и эксплуатации тюрем, исправительных колоний и других мест лишения свободы, а также по оказанию реабилитационной помощи бывшим заключенным",84.23.4,2024,1
Образование,85,2024,1062
Образование общее,85.1,2018,1
Образование общее,85.1,2019,1
Образование общее,85.1,2020,3
Образование общее,85.1,2021,1
Образование общее,85.1,2022,1
Образование общее,85.1,2023,1
Образование общее,85.1,2024,1
Образование среднее общее,85.14,2024,1
Образование профессиональное,85.2,2018,973
Образование профессиональное,85.2,2019,1014
Образование профессиональное,85.2,2020,1054
Образование профессиональное,85.2,2021,1073
Образование профессиональное,85.2,2022,1045
Образование профессиональное,85.2,2023,1039
Образование профессиональное,85.2,2024,1040
Образование профессиональное среднее,85.21,2018,7
Образование профессиональное среднее,85.21,2019,8
Образование профессиональное среднее,85.21,2020,6
Образование профессиональное среднее,85.21,2021,8
Образование профессиональное среднее,85.21,2022,6
Образование профессиональное среднее,85.21,2023,4
Образование профессиональное среднее,85.21,2024,4
Образование высшее,85.22,2018,945
Образование высшее,85.22,2019,977
Образование высшее,85.22,2020,1020
Образование высшее,85.22,2021,1041
Образование высшее,85.22,2022,1017
Образование высшее,85.22,2023,1018
Образование высшее,85.22,2024,1021
Образование высшее - бакалавриат,85.22.1,2024,237
Образование высшее - специалитет,85.22.2,2024,27
Образование высшее - магистратура,85.22.3,2024,8
Подготовка кадров высшей квалификации,85.23,2018,21
Подготовка кадров высшей квалификации,85.23,2019,29
Подготовка кадров высшей квалификации,85.23,2020,28
Подготовка кадров высшей квалификации,85.23,2021,24
Подготовка кадров высшей квалификации,85.23,2022,22
Подготовка кадров высшей квалификации,85.23,2023,17
Подготовка кадров высшей квалификации,85.23,2024,15
Обучение профессиональное,85.3,2019,1
Обучение профессиональное,85.3,2020,2
Образование дополнительное,85.4,2018,17
Образование дополнительное,85.4,2019,13
Образование дополнительное,85.4,2020,13
Образование дополнительное,85.4,2021,15
Образование дополнительное,85.4,2022,20
Образование дополнительное,85.4,2023,21
Образование дополнительное,85.4,2024,21
Образование дополнительное детей и взрослых,85.41,2024,3
"Образование дополнительное детей и взрослых, не включенное в другие группировки",85.41.9,2024,2
Образование профессиональное дополнительное,85.42,2024,18
"Деятельность по дополнительному профессиональному образованию прочая, не включенная в другие группировки",85.42.9,2024,10
Деятельность в области здравоохранения,86,2018,53
Деятельность в области здравоохранения,86,2019,58
Деятельность в области здравоохранения,86,2020,63
Деятельность в области здравоохранения,86,2021,65
Деятельность в области здравоохранения,86,2022,71
Деятельность в области здравоохранения,86,2023,67
Деятельность в области здравоохранения,86,2024,62
Деятельность больничных организаций,86.10,2024,51
Медицинская и стоматологическая практика,86.2,2024,3
Общая врачебная практика,86.21,2024,2
Стоматологическая практика,86.23,2024,1
Деятельность в области медицины прочая,86.90,2024,8
Деятельность организаций санитарно-эпидемиологической службы,86.90.1,2024,5
Деятельность санаторно-курортных организаций,86.90.4,2024,1
"Деятельность в области медицины прочая, не включенная в другие группировки",86.90.9,2024,1
Предоставление социальных услуг без обеспечения проживания,88,2020,2
Предоставление социальных услуг без обеспечения проживания,88,2021,1
Предоставление социальных услуг без обеспечения проживания,88,2022,1
Предоставление социальных услуг без обеспечения проживания,88,2023,1
Предоставление социальных услуг без обеспечения проживания,88,2024,2
Предоставление социальных услуг без обеспечения проживания престарелым и инвалидам,88.10,2024,1
Предоставление прочих социальных услуг без обеспечения проживания,88.9,2024,1
"Предоставление прочих социальных услуг без обеспечения проживания, не включенных в другие группировки",88.99,2024,1
"Деятельность творческая, деятельность в области искусства и организации развлечений",90,2019,2
"Деятельность творческая, деятельность в области искусства и организации развлечений",90,2020,2
"Деятельность творческая, деятельность в области искусства и организации развлечений",90,2021,2
"Деятельность творческая, деятельность в области искусства и организации развлечений",90,2022,2
"Деятельность творческая, деятельность в области искусства и организации развлечений",90,2023,4
"Деятельность творческая, деятельность в области искусства и организации развлечений",90.0,2024,3
Деятельность в области исполнительских искусств,90.01,2024,1
Деятельность учреждений культуры и искусства,90.04,2024,2
"Деятельность учреждений клубного типа: клубов, дворцов и домов культуры, домов народного творчества",90.04.3,2024,1
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91,2018,126
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91,2019,127
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91,2020,129
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91,2021,127
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91,2022,128
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91,2023,122
"Деятельность библиотек, архивов, музеев и прочих объектов культуры",91.0,2024,109
Деятельность библиотек и архивов,91.01,2024,9
Деятельность музеев,91.02,2024,15
"Деятельность по охране исторических мест и зданий, памятников культуры",91.03,2024,4
"Деятельность ботанических садов, зоопарков, государственных природных заповедников и национальных парков",91.04,2024,81
Деятельность зоопарков,91.04.1,2024,1
Деятельность государственных природных заповедников (в том числе биосферных),91.04.2,2024,17
Деятельность национальных парков,91.04.3,2024,9
Деятельность природных парков,91.04.4,2024,3
"Деятельность по организации и проведению азартных игр и заключению пари, по организации и проведению лотерей",92,2021,1
"Деятельность в области спорта, отдыха и развлечений",93,2018,1
"Деятельность в области спорта, отдыха и развлечений",93,2019,1
"Деятельность в области спорта, отдыха и развлечений",93,2020,1
"Деятельность в области спорта, отдыха и развлечений",93,2021,1
"Деятельность в области спорта, отдыха и развлечений",93,2023,2
"Деятельность в области спорта, отдыха и развлечений",93,2024,2
Деятельность в области спорта,93.1,2024,1
Деятельность в области спорта прочая,93.19,2024,1
Деятельность в области отдыха и развлечений,93.2,2024,1
Деятельность по организации отдыха и развлечений прочая,93.29,2024,1
"Деятельность зрелищно-развлекательная прочая, не включенная в другие группировки",93.29.9,2024,1
Деятельность общественных организаций,94,2018,11
Деятельность общественных организаций,94,2019,14
Деятельность общественных организаций,94,2020,19
Деятельность общественных организаций,94,2021,15
Деятельность общественных и прочих некоммерческих организаций,94,2022,21
Деятельность общественных и прочих некоммерческих организаций,94,2023,21
Деятельность общественных и прочих некоммерческих организаций,94,2024,22
Деятельность предпринимательских и профессиональных членских некоммерческих организаций,94.1,2024,7
Деятельность предпринимательских членских некоммерческих организаций,94.11,2024,1
Деятельность профессиональных членских организаций,94.12,2024,6
Деятельность прочих общественных и некоммерческих организаций,94.9,2024,15
Деятельность религиозных организаций,94.91,2024,1
"Деятельность прочих общественных организаций и некоммерческих организаций, кроме религиозных и политических организаций",94.99,2024,14
Деятельность организаций по охране окружающей среды,94.99.2,2024,1
"Ремонт компьютеров, предметов личного потребления и хозяйственно",95,2018,3
"Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения",95,2019,1
"Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения",95,2020,1
"Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения",95,2021,1
"Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения",95,2022,1
"Ремонт компьютеров, предметов личного потребления и хозяйственно-бытового назначения",95,2024,1
Ремонт компьютеров и коммуникационного оборудования,95.1,2024,1
Ремонт коммуникационного оборудования,95.12,2018,1
Ремонт коммуникационного оборудования,95.12,2019,1
Ремонт коммуникационного оборудования,95.12,2020,1
Ремонт коммуникационного оборудования,95.12,2021,1
Ремонт коммуникационного оборудования,95.12,2022,1
Ремонт коммуникационного оборудования,95.12,2024,1
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2018,23
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2019,25
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2020,25
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2021,25
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2022,26
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2023,18
"СЕЛЬСКОЕ, ЛЕСНОЕ ХОЗЯЙСТВО, ОХОТА, РЫБОЛОВСТВО И РЫБОВОДСТВО",A,2024,17
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2018,5
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2019,6
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2020,6
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2021,5
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2022,7
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2023,7
ДОБЫЧА ПОЛЕЗНЫХ ИСКОПАЕМЫХ,B,2024,5
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2018,464
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2019,508
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2020,530
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2021,536
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2022,581
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2023,592
ОБРАБАТЫВАЮЩИЕ ПРОИЗВОДСТВА,C,2024,638
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2018,9
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2019,4
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2020,2
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2021,2
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2022,2
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2023,1
"ОБЕСПЕЧЕНИЕ ЭЛЕКТРИЧЕСКОЙ ЭНЕРГИЕЙ, ГАЗОМ И ПАРОМ; КОНДИЦИОНИРОВАНИЕ ВОЗДУХА",D,2024,3
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2018,4
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2019,4
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2020,1
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2021,1
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2022,1
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2023,1
"ВОДОСНАБЖЕНИЕ; ВОДООТВЕДЕНИЕ, ОРГАНИЗАЦИЯ СБОРА И УТИЛИЗАЦИИ ОТХОДОВ, ДЕЯТЕЛЬНОСТЬ ПО ЛИКВИДАЦИИ ЗАГРЯЗНЕНИЙ",E,2024,3
СТРОИТЕЛЬСТВО,F,2018,2
СТРОИТЕЛЬСТВО,F,2019,2
СТРОИТЕЛЬСТВО,F,2020,1
СТРОИТЕЛЬСТВО,F,2021,1
СТРОИТЕЛЬСТВО,F,2022,3
СТРОИТЕЛЬСТВО,F,2023,1
СТРОИТЕЛЬСТВО,F,2024,1
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2018,12
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2019,15
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2020,15
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2021,16
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2022,21
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2023,15
ТОРГОВЛЯ ОПТОВАЯ И РОЗНИЧНАЯ; РЕМОНТ АВТОТРАНСПОРТНЫХ СРЕДСТВ И МОТОЦИКЛОВ,G,2024,16
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2018,4
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2019,6
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2020,2
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2021,4
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2022,2
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2023,1
ТРАНСПОРТИРОВКА И ХРАНЕНИЕ,H,2024,1
ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,I,2018,1
ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,I,2019,2
ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,I,2021,1
ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,I,2022,2
ДЕЯТЕЛЬНОСТЬ ГОСТИНИЦ И ПРЕДПРИЯТИЙ ОБЩЕСТВЕННОГО ПИТАНИЯ,I,2024,2
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2018,43
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2019,49
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2020,63
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2021,55
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2022,54
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2023,53
ДЕЯТЕЛЬНОСТЬ В ОБЛАСТИ ИНФОРМАЦИИ И СВЯЗИ,J,2024,60
